channel,ordinal_week,attach_rate
d2c_not_holiday,1,0.721
d2c_not_holiday,2,0.188
d2c_not_holiday,3,0.026
d2c_not_holiday,4,0.010
d2c_not_holiday,5,0.010
d2c_not_holiday,6,0.000
sale,1,0.721
sale,2,0.188
sale,3,0.260
sale,4,0.010
sale,5,0.010
sale,6,0.000
d2c_holiday,1,0.704
d2c_holiday,2,0.109
d2c_holiday,3,0.061
d2c_holiday,4,0.023
d2c_holiday,5,0.029
d2c_holiday,6,0.021
amazon,1,0.000
amazon,2,0.000
amazon,3,0.200
amazon,4,0.050
amazon,5,0.000
amazon,6,0.000
costco,1,0.000
costco,2,0.000
costco,3,0.150
costco,4,0.100
costco,5,0.000
costco,6,0.000
other,1,0.000
other,2,0.000
other,3,0.200
other,4,0.050
other,5,0.000
other,6,0.000