term_id,holiday_skip_adjustment
250,0.00
251,0.00
252,0.00
253,0.00
254,0.00
255,0.30
256,0.00
257,0.00
258,0.00
259,0.16
261,0.00
262,0.00
263,0.00
264,0.00
265,0.00
266,0.00
267,0.00
268,0.00
269,0.00
270,0.00
271,0.00
272,0.00
273,0.00
274,0.00
275,0.00
276,0.00
277,0.00
278,0.00
279,0.00
280,0.00
281,0.00
282,0.00
283,0.00
284,0.00
285,0.00
286,0.00
287,0.12
288,0.00
289,0.00
290,0.00
291,0.00
292,0.00
293,0.00
294,0.00
295,0.00
296,0.00
297,0.00
298,0.00
299,0.00
300,0.00
301,0.00
302,0.00
303,0.00
304,0.00
305,0.00
306,0.00
307,0.30
308,0.00
309,0.00
310,0.00
311,0.16
313,0.00
314,0.00
315,0.00
316,0.00
317,0.00
318,0.00
319,0.00
320,0.06
321,0.00
322,0.00
323,0.00
324,0.00
325,0.00
326,0.00
327,0.00
328,0.00
329,0.00
330,0.00
331,0.00
332,0.00
333,0.00
334,0.00
335,0.00
336,0.00
337,0.00
338,0.00
339,0.12
340,0.00
341,0.00
342,0.00
343,0.00
344,0.00
345,0.00
346,0.00
347,0.00
348,0.00
349,0.00
350,0.00
351,0.00
352,0.00
353,0.00
354,0.00
355,0.00
356,0.00
357,0.00
358,0.00
359,0.30
360,0.00
361,0.00
362,0.00
363,0.16
365,0.00
366,0.00
367,0.00
368,0.00
369,0.00
370,0.00
371,0.00
372,0.06
373,0.00
374,0.00
375,0.00
376,0.00
377,0.00
378,0.00
379,0.00
380,0.00
381,0.00
382,0.00
383,0.00
384,0.00
385,0.00
386,0.00
387,0.00
388,0.00
389,0.00
390,0.00
391,0.12
392,0.00
393,0.00
394,0.00
395,0.00
396,0.00
397,0.00
398,0.00
399,0.00
400,0.00
401,0.00
402,0.00
403,0.00
404,0.00
405,0.00
406,0.00
407,0.00
408,0.00
409,0.00
410,0.00
411,0.00
412,0.29
413,0.00
414,0.00
415,0.05
417,0.25
418,0.00
419,0.00
420,0.00
421,0.00
422,0.00
423,0.00
424,0.06
425,0.00
426,0.00
427,0.00
428,0.00
429,0.00
430,0.00
431,0.00
432,0.00
433,0.00
434,0.00
435,0.00
436,0.00
437,0.00
438,0.00
439,0.00
440,0.00
441,0.00
442,0.00
443,0.12
444,0.00
445,0.00
446,0.00
447,0.00
448,0.00
449,0.00
450,0.00
451,0.00
452,0.00
453,0.00
454,0.00
455,0.00
456,0.00
457,0.00
458,0.00
459,0.00
460,0.00
461,0.00
462,0.00
463,0.00
464,0.30
465,0.00
466,0.00
467,0.00
469,0.28
470,-0.07
471,-0.02
472,0.00
473,0.00
474,0.00
475,0.00
476,0.06
477,0.00
478,0.00
479,0.00
480,0.00
481,0.00
482,0.00
483,0.00
484,0.00
485,0.00
486,0.00
487,0.00
488,0.00
489,0.00
490,0.00
491,0.00
492,0.00
493,0.00
494,0.00
495,0.12
496,0.00
497,0.00
498,0.00
499,0.00
500,0.00
501,0.00
502,0.00
503,0.00
504,0.00
505,0.00
506,0.00
507,0.00
508,0.00
509,0.00
510,0.00
511,0.00
512,0.00
513,0.00
514,0.00
515,0.00
516,0.30
517,0.00
518,0.00
519,0.00
520,0.16
522,0.00
523,0.00
524,0.00
525,0.00
526,0.00
527,0.00
528,0.06
529,0.00
530,0.00
531,0.00
532,0.00
533,0.00
534,0.00
535,0.00
536,0.00
537,0.00
538,0.00
539,0.00
540,0.00
541,0.00
542,0.00
543,0.00
544,0.00
545,0.00
546,0.00
547,0.00
548,0.12
549,0.00
550,0.00
551,0.00
552,0.00
553,0.00
554,0.00
555,0.00
556,0.00
557,0.00
558,0.00
559,0.00
560,0.00
561,0.00
562,0.00
563,0.00
564,0.00
565,0.00
566,0.00
567,0.00
568,0.30
569,0.00
570,0.00
571,0.00
572,0.16
574,0.00
575,0.00
576,0.00
577,0.00
578,0.00